"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Leg Extension (Machine)",,"Single leg",0,"normal",230,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Leg Extension (Machine)",,"Single leg",1,"normal",230,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Leg Extension (Machine)",,"Single leg",2,"normal",230,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Seated Leg Curl (Machine)",,"",0,"normal",205,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Seated Leg Curl (Machine)",,"",1,"normal",205,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Seated Leg Curl (Machine)",,"",2,"normal",175,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Seated Leg Curl (Machine)",,"",3,"normal",130,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Squat (Barbell)",,"",0,"normal",135,10,,,6
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Squat (Barbell)",,"",1,"normal",225,8,,,6
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Squat (Barbell)",,"",2,"normal",225,8,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Romanian Deadlift (Barbell)",,"",0,"normal",135,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Romanian Deadlift (Barbell)",,"",1,"normal",155,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Romanian Deadlift (Barbell)",,"",2,"normal",155,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Leg Press (Machine)",,"Single leg",0,"normal",360,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Leg Press (Machine)",,"Single leg",1,"normal",360,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Leg Press (Machine)",,"Single leg",2,"normal",360,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Calf Press on Seated Leg Press",,"",0,"normal",270,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Calf Press on Seated Leg Press",,"",1,"normal",320,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Calf Press on Seated Leg Press",,"",2,"normal",320,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Cable Crunch",,"",0,"normal",95,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Cable Crunch",,"",1,"normal",95,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Cable Crunch",,"",2,"normal",95,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Wrist curl Cable",,"",0,"normal",72.5,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Wrist curl Cable",,"",1,"normal",72.5,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Wrist curl Cable",,"",2,"normal",72.5,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Reverse Curl (Barbell)",,"",0,"normal",45,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Reverse Curl (Barbell)",,"",1,"normal",45,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Reverse Curl (Barbell)",,"",2,"normal",45,10,,,
"Legs 2","3 Jan 2026, 17:29","3 Jan 2026, 18:38","","Reverse Curl (Barbell)",,"",3,"normal",45,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Pull Up (Weighted)",,"",0,"normal",,10,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Pull Up (Weighted)",,"",1,"normal",25,5,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","Pull Up (Weighted)",,"",2,"normal",25,5,,,
"Pull 2","2 Jan 2026, 18:18","2 Jan 2026, 19:38","","T Bar Row",,"",0,"normal",160,10,,,
